domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
all_domains,temporal_condition_label_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,9868,0.3692422825070159,0.0,0.0,0.0,1.0,1.0,0.0,0.6307577174929841,1.0,0.0,1.0,,0.5,0.3692422825070159
all_domains,temporal_condition_label_drift,metadata-only,baseline review/status/submitter metadata only,comparator,26725,9868,0.3692422825070159,0.0,0.0,0.0,1.0,1.0,0.0,0.6307577174929841,1.0,0.0,1.0,,0.5,0.3692422825070159
all_domains,temporal_condition_label_drift,gene-only,gene identity only,comparator,26725,9868,0.0759214218896164,29.332086061739943,79.43858937981354,0.4768942937324602,0.2297848456501403,0.2439342706294121,0.7560657293705879,0.6695977853769745,0.2439342706294121,0.7943858937981354,0.2439342706294121,0.5148430316563772,0.5191600822137737,0.5528157156220767
all_domains,temporal_condition_label_drift,regime-only,baseline disease-model regime only,comparator,26725,9868,0.0608044901777362,30.84377923292797,83.53263072557763,0.4801496725912067,0.2114125350795135,0.2387732099424571,0.7612267900575429,0.7123893805309734,0.2387732099424571,0.8353263072557763,0.2387732099424571,0.5327860905535985,0.5370497585991167,0.5409541627689429
all_domains,temporal_condition_label_drift,portability-score-only,baseline portability score threshold only,comparator,26725,9868,0.2510383536014967,11.820392890551917,32.01256586947709,0.16377923292797,0.7180168381665107,0.7403452571631963,0.2596547428368037,0.6503726093074157,0.7403452571631963,0.320125658694771,0.7403452571631963,0.3630199954033555,0.5302354579289836,0.4148175865294667
all_domains,temporal_condition_label_drift,failure-topology-only,baseline failure/regime topology only,comparator,26725,9868,0.0608044901777362,30.84377923292797,83.53263072557763,0.4801496725912067,0.2114125350795135,0.2387732099424571,0.7612267900575429,0.7123893805309734,0.2387732099424571,0.8353263072557763,0.2387732099424571,0.5327860905535985,0.5370497585991167,0.5409541627689429
all_domains,temporal_condition_label_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,26725,9868,0.0241721234798877,34.507015902712816,93.4535873530604,0.5740318054256315,0.0808980355472404,0.0899329655336062,0.9100670344663938,0.7012025901942646,0.0899329655336062,0.934535873530604,0.0899329655336062,0.5356800557637013,0.5122344195321051,0.5982039289055192
all_domains,temporal_condition_label_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,9868,0.0745743685687558,29.466791393826007,79.80340494527766,0.4322170252572497,0.2731150608044901,0.3147653793676218,0.6852346206323783,0.7269488971091931,0.3147653793676218,0.7980340494527767,0.3147653793676218,0.5376527616576774,0.5563997144101992,0.5067913938260056
cardiomyopathy,temporal_condition_label_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,4918,1901,0.3865392435949573,0.0,0.0,0.0,1.0,1.0,0.0,0.6134607564050427,1.0,0.0,1.0,,0.5,0.3865392435949573
cardiomyopathy,temporal_condition_label_drift,metadata-only,baseline review/status/submitter metadata only,comparator,4918,1901,0.3865392435949573,0.0,0.0,0.0,1.0,1.0,0.0,0.6134607564050427,1.0,0.0,1.0,,0.5,0.3865392435949573
